source,segment,feature,column_name,hypothesis_tested,outliers_removed,mc_iterations,significant_ttest (mean_p<0.05),roc_positive_class_for_metrics,n_ACM_initial,n_healthy_initial,p_value_mean,p_value_ui_lower,p_value_ui_upper,t_stat_mean,t_stat_ui_lower,t_stat_ui_upper,threshold_mean,threshold_ui_lower,threshold_ui_upper,sensitivity_mean,sensitivity_ui_lower,sensitivity_ui_upper,specificity_mean,specificity_ui_lower,specificity_ui_upper,f1_score_mean,f1_score_ui_lower,f1_score_ui_upper,auc_mean,auc_ui_lower,auc_ui_upper,projection,sensor_or_region,q_value_fdr,significant_fdr_q<0.05,robust_after_fdr_and_mc_ui
EZ_yz,ST,Solidity,st_Solidity,not_equal,False,5000,False,ACM,9,12,0.58805429425258,0.0957980369552672,0.979992214149719,-0.10695803736520165,-1.581795296897235,1.475561558861018,0.5235676035900552,0.1461714121754997,0.9729985859166476,0.6448388888888889,0.2222222222222222,1.0,0.6619388888888889,0.2222222222222222,1.0,0.625795915426285,0.36363636363636365,0.8148148148148148,0.5759018518518518,0.4722222222222222,0.7222222222222222,yz,EZ,0.5920863314264029,False,False
EZ_yz,ST,Distance,st_Distance,not_equal,False,5000,False,Healthy,9,12,0.38165097285025196,0.006307305978680343,0.96028690617531,1.019433291196881,-0.8417110866087304,3.1198422285440435,2.728838340846062,-0.6525729688162737,6.037657688881991,0.6260777777777778,0.25,1.0,0.7832722222222223,0.25,1.0,0.6698828066011651,0.4,0.8461538461538461,0.6339277777777778,0.4444444444444445,0.8243055555555523,yz,EZ,0.5062857045012399,False,False
EZ_yz,ST,Compact,st_Compact,not_equal,False,5000,False,Healthy,9,12,0.5819048286866134,0.06187657916630257,0.9820056157155747,0.3289198061200941,-1.0253383570791537,1.9857461648006742,0.16677378698595127,0.025455792442759702,0.41861889712596506,0.6527222222222222,0.2222222222222222,1.0,0.6615222222222222,0.2222222222222222,1.0,0.6403983625802947,0.3333333333333333,0.8333333333333334,0.582237037037037,0.4537037037037037,0.75,yz,EZ,0.6117304414176443,False,False
EZ_yz,ST,Angle,st_Angle,not_equal,False,5000,False,Healthy,9,12,0.6194870342450687,0.0676200025528706,0.9840932299795427,0.27630962136239945,-0.7540241880688645,1.9825574976877045,23.635300470331266,-45.52365185449713,315.09421350605635,0.6032722222222222,0.1111111111111111,1.0,0.69085,0.3333333333333333,1.0,0.5874684313696279,0.2,0.8333333333333334,0.5498,0.3518518518518519,0.7407407407407407,yz,EZ,0.6194870342450687,False,False
OX_xy,T,Area_Net,t_Area_Net,not_equal,False,5000,False,Healthy,7,11,0.10201318080865139,0.026268496610254526,0.28438084078216486,1.8441072775740424,1.1132599042828826,2.5065035375282823,3.076009202382403,1.3106798914002622,12.551646166712096,0.8738181818181818,0.45454545454545453,1.0,0.6564857142857143,0.5714285714285714,1.0,0.8303407169221501,0.625,0.9166666666666666,0.7616519480519479,0.6623376623376623,0.8441558441558441,xy,OX,0.10201318080865139,False,False
OX_xy,T,Area_Hull,t_Area_Hull,not_equal,False,5000,True,Healthy,7,11,0.017336420673639195,0.006572959859634415,0.0372691499071342,2.804226189681756,2.338004638282608,3.273062848999118,8.9229921021773,3.862125245709008,29.105820089145737,0.8824363636363636,0.5454545454545454,1.0,0.7579714285714286,0.5714285714285714,1.0,0.8591892432295574,0.7058823529411765,0.9166666666666666,0.8569532467532467,0.8051948051948052,0.8961038961038961,xy,OX,0.031103375408825774,True,True
OX_xy,T,Solidity,t_Solidity,not_equal,False,5000,False,ACM,7,11,0.2913389973133285,0.04854244565441873,0.8198146641033819,-1.2387127020020874,-2.2235671515969813,-0.2096792897432077,0.6378101114760335,0.32980521596646933,0.8979714559072904,0.6491194805194804,0.2857142857142857,0.8571428571428571,0.7959376623376624,0.45454545454545453,1.0,0.6575370399472352,0.4444444444444444,0.8,0.6710363636363637,0.5194805194805194,0.7922077922077922,xy,OX,0.6738426356302217,False,False
OX_xy,T,Distance,t_Distance,not_equal,False,5000,True,Healthy,7,11,0.005321600760319231,0.0008465000339647942,0.016715703798016075,3.395701635030139,2.679213863335932,4.192618122237048,13.401050675428825,9.828160049092222,16.54023950444022,0.7792909090909091,0.6363636363636364,0.9090909090909091,0.9662,0.8571428571428571,1.0,0.8636232495083326,0.7777777777777778,0.9523809523809523,0.8769584415584415,0.8181818181818182,0.935064935064935,xy,OX,0.021286403041276925,True,True
OX_xy,T,Compact,t_Compact,not_equal,False,5000,False,Healthy,7,11,0.6599209467458297,0.14819602541201207,0.9867620737027742,0.20940149167015598,-0.7833800153755873,1.5355411014619016,0.09895515097764492,0.012741555599937346,0.3019233826113739,0.6137194805194806,0.14285714285714285,1.0,0.6611818181818182,0.2857142857142857,1.0,0.6013386685330293,0.25,0.8148148148148148,0.544735064935065,0.4415584415584416,0.6753246753246753,xy,OX,0.6599209467458297,False,False
OX_xy,T,Angle,t_Angle,not_equal,False,5000,False,Healthy,7,11,0.08486063748653358,0.058460298404343435,0.12945678298275107,1.8518711447131657,1.6010449120357246,2.0467572426459544,-16.29527799911962,-46.602763645786425,120.01799542292721,0.7730545454545455,0.5454545454545454,1.0,0.7479999999999999,0.5714285714285714,0.8571428571428571,0.7927717325779169,0.6666666666666666,0.9166666666666666,0.7607896103896103,0.6753246753246753,0.8571428571428572,xy,OX,0.3394425499461343,False,False
OX_xy,QRS,Area_Net,qrs_Area_Net,not_equal,False,5000,False,Healthy,7,11,0.6297371340390909,0.1647425468527808,0.9796920735615248,0.49535016633808016,-0.276794593467743,1.4665038622771678,9.71235541906386,0.8388120698584762,54.940926552536254,0.7132623376623377,0.14285714285714285,1.0,0.6929090909090909,0.42857142857142855,1.0,0.7201303671225501,0.25,0.8695652173913043,0.6348805194805194,0.37662337662337664,0.7662337662337663,xy,OX,0.6297371340390909,False,False
OX_xy,QRS,Area_Hull,qrs_Area_Hull,not_equal,False,5000,False,Healthy,7,11,0.4627140178542968,0.10657718990217016,0.9502901552877333,0.8144718627383235,-0.056610743641480415,1.723395554215627,10.030482611017764,3.9145355575659546,44.46710316567497,0.7915142857142857,0.42857142857142855,0.9090909090909091,0.6230623376623375,0.5714285714285714,1.0,0.7725809024613831,0.5325000000000036,0.8333333333333334,0.6253298701298702,0.49318181818181955,0.7402597402597403,xy,OX,0.4627140178542968,False,False
OX_xy,QRS,Solidity,qrs_Solidity,not_equal,False,5000,False,Healthy,7,11,0.5147040740460468,0.1181770141123012,0.9685603660182743,0.6957919575760263,-0.3283220542248249,1.6928656237537454,0.4941060689292981,0.20221456540915592,0.9503295074567787,0.7525844155844156,0.2857142857142857,1.0,0.6165012987012987,0.2857142857142857,1.0,0.7333712247978811,0.42857142857142855,0.88,0.6051662337662338,0.48051948051948057,0.7402597402597402,xy,OX,0.6876070114350372,False,False
OX_xy,QRS,Distance,qrs_Distance,not_equal,False,5000,False,Healthy,7,11,0.4154565573447178,0.17309705920121507,0.7388230171881776,0.8693382328648437,0.3407477260541401,1.4313691567764169,24.18153509902228,17.19104971834909,38.621445534798056,0.4831636363636364,0.2727272727272727,0.6363636363636364,0.8703714285714282,0.7142857142857143,1.0,0.6100207633336735,0.42857142857142855,0.7368421052631579,0.5831922077922078,0.5194805194805194,0.6493506493506493,xy,OX,0.4154565573447178,False,False
OX_xy,QRS,Compact,qrs_Compact,not_equal,False,5000,False,Healthy,7,11,0.227566906795255,0.027440851303734623,0.7467692254673675,1.4317632492602033,0.32307128902427723,2.4696156499444215,0.06692061802682195,0.026634242895897556,0.15177158112787106,0.6748233766233767,0.2727272727272727,0.9090909090909091,0.7630623376623377,0.5714285714285714,1.0,0.7272424541126403,0.42857142857142855,0.8571428571428571,0.669625974025974,0.5324675324675324,0.8051948051948051,xy,OX,0.7901692859342673,False,False
OX_xy,QRS,Angle,qrs_Angle,not_equal,False,5000,False,Healthy,7,11,0.16556060243187623,0.012864394172010536,0.8026185823506442,1.8109655892892407,0.2498237100316227,2.875133843071153,16.488005330457877,-44.39511269101639,122.00355256131486,0.5413376623376623,0.2727272727272727,0.8181818181818182,0.8927428571428573,0.5714285714285714,1.0,0.6589591684594552,0.42857142857142855,0.8181818181818182,0.6561116883116883,0.4935064935064935,0.8051948051948052,xy,OX,0.663453380186112,False,False
OX_xy,ST,Area_Net,st_Area_Net,not_equal,False,5000,False,Healthy,7,11,0.6612144103369615,0.09713414751077154,0.986741209093148,0.14003341458107715,-0.8407424291883061,1.7761174106632072,11.297792462883367,-3.023415204834145e-05,41.06573407524339,0.629787012987013,0.14285714285714285,1.0,0.8010961038961039,0.18181818181818182,1.0,0.6524660285164202,0.25,0.9166666666666666,0.5453454545454546,0.2857142857142857,0.8311688311688312,xy,OX,0.6612144103369615,False,False
OX_xy,ST,Area_Hull,st_Area_Hull,not_equal,False,5000,False,Healthy,7,11,0.6474989408842896,0.12007618589636898,0.9847024445969986,0.35699469691029745,-0.6656228640387635,1.6561952464946164,11.548114296362055,0.3560054612138078,45.673301388083345,0.7363246753246754,0.2857142857142857,1.0,0.7548,0.36363636363636365,1.0,0.7376427224059947,0.4,0.9166666666666666,0.6117506493506493,0.2987012987012987,0.8051948051948051,xy,OX,0.6474989408842896,False,False
